,Ticker,PreCovidMedianPrice,PreCovidMeanPrice,CovidMinPrice,CurrentPrice,PriceDipPercent,PriceRecoveryPercent,RemainingDipPercent
1301,HP,40.19,40.46,12.8,26.92,68.36,34.9,33.46
795,CRS,51.77,51.56,14.87,34.34,71.16,37.76,33.4
2400,PFIE,1.67,1.65,0.65,1.1,60.46,27.27,33.18
512,THR,24.27,24.7,10.01,16.56,59.48,26.51,32.96
1053,CATO,17.51,17.68,6.08,11.86,65.62,32.69,32.93
1435,ANIK,56.28,57.16,22.38,38.42,60.85,28.06,32.78
463,BKCC,4.97,4.97,1.47,3.34,70.41,37.64,32.78
1047,CMLS,14.39,14.96,3.14,10.06,79.02,46.25,32.77
2159,FE,47.84,47.75,26.56,32.13,44.37,11.67,32.71
671,RCEL,40.55,40.63,17.55,27.38,56.81,24.19,32.61
1805,SFE,11.58,11.6,4.52,7.82,61.03,28.45,32.57
1827,EVFM,5.3,5.55,2.07,3.75,62.73,30.25,32.48
898,UBFO,10.39,10.43,5.07,7.08,51.41,19.26,32.15
1040,ARCH,75.96,76.63,22.82,52.21,70.22,38.35,31.87
2836,BCML,22.19,22.24,10.1,15.18,54.59,22.84,31.76
2736,MTRX,19.1,19.45,7.29,13.33,62.51,31.06,31.46
3148,GALT,3.59,3.5,1.51,2.4,56.82,25.45,31.37
2858,CRK,7.05,7.36,4.1,5.06,44.27,13.05,31.22
2948,RRD,3.79,3.76,0.83,2.59,77.95,46.76,31.19
408,PSX,111.96,110.04,42.09,75.79,61.75,30.62,31.13
3021,OXSQ,5.59,5.69,2.06,3.92,63.8,32.69,31.11
3049,CEIX,14.53,14.51,3.69,10.0,74.57,43.49,31.07
2027,TNK,16.96,16.27,9.35,11.22,42.52,11.5,31.02
5,UFCS,45.32,45.11,19.12,31.12,57.62,26.6,31.02
175,UTL,61.66,61.69,32.89,42.56,46.69,15.67,31.01
2060,HRTG,13.92,13.96,9.06,9.63,35.09,4.08,31.0
1023,SBOW,9.59,9.62,1.77,6.64,81.6,50.63,30.96
1822,MBI,9.41,9.51,5.67,6.58,40.39,9.57,30.83
2889,EGLE,31.22,31.19,9.66,21.57,69.02,38.19,30.83
647,BIMI,3.13,3.07,1.54,2.13,49.9,19.19,30.71
422,RIG,5.03,5.23,0.67,3.64,87.18,56.83,30.35
1234,TIPT,7.42,7.55,4.49,5.26,40.54,10.2,30.34
2890,RGA,161.98,160.99,57.29,112.25,64.41,34.14,30.28
3342,KIN,7.77,7.71,3.26,5.38,57.72,27.49,30.23
1884,NEX,5.5,5.56,1.04,3.89,81.3,51.24,30.06
2301,LILAK,16.98,16.94,7.52,11.86,55.6,25.63,29.97
2925,KEX,82.25,82.27,34.2,57.72,58.43,28.59,29.84
2257,CVE,9.13,9.19,1.6,6.46,82.6,52.86,29.74
2987,PTEN,9.03,9.12,1.7,6.41,81.36,51.63,29.73
2515,UTSI,2.98,2.97,0.85,2.09,71.37,41.77,29.6
3304,LMNL,7.48,7.8,3.68,5.49,52.79,23.22,29.57
3174,LILA,17.06,17.01,7.6,11.99,55.33,25.81,29.52
620,PRQR,7.31,7.59,3.58,5.35,52.82,23.32,29.5
423,IMTE,7.3,7.48,2.69,5.29,64.04,34.76,29.27
1585,BCSF,18.61,18.75,7.12,13.27,62.0,32.78,29.22
1531,VLO,93.65,91.54,32.62,64.79,64.37,35.14,29.22
1590,RETA,196.07,160.36,93.53,113.58,41.68,12.5,29.17
981,LFVN,14.39,14.39,7.91,10.21,45.02,15.99,29.03
2035,HII,225.66,232.15,137.83,165.02,40.63,11.71,28.92
1463,BKD,7.4,7.53,1.74,5.36,76.89,48.08,28.81
2487,COTY,11.15,11.13,2.65,7.94,76.19,47.54,28.65
3091,OII,13.87,13.96,2.08,9.96,85.1,56.45,28.65
2550,OGE,43.26,43.46,23.67,31.02,45.54,16.91,28.63
1873,GORO,4.2,4.2,2.36,3.0,43.83,15.23,28.6
1079,DRQ,46.91,47.17,22.97,33.69,51.3,22.73,28.57
2211,CAL,22.43,22.53,3.28,16.11,85.44,56.95,28.49
1374,SJI,32.1,31.82,18.48,22.76,41.92,13.45,28.47
3032,XRX,34.12,33.88,14.63,24.24,56.82,28.36,28.46
2044,POWL,39.46,41.26,15.63,29.53,62.12,33.69,28.43
3243,MRC,13.3,13.0,3.52,9.32,72.91,44.63,28.28
1910,ENOB,5.57,5.39,2.08,3.87,61.4,33.22,28.17
87,FCFS,84.45,86.79,52.04,62.57,40.04,12.13,27.91
2920,BGCP,5.62,5.62,2.19,4.05,61.0,33.12,27.88
878,BGSF,19.78,20.14,6.13,14.58,69.56,41.96,27.59
1030,KMI,20.29,20.32,9.98,14.73,50.88,23.38,27.51
674,HYMC,10.3,10.3,6.71,7.47,34.85,7.38,27.47
3012,SLB,36.14,35.83,12.05,25.99,66.37,38.91,27.46
424,WWE,65.44,65.32,30.44,47.42,53.4,25.99,27.41
1750,CVLY,21.89,21.98,11.15,15.96,49.28,21.88,27.4
432,PRO,59.92,58.9,21.03,42.79,64.29,36.95,27.35
64,MRO,12.16,12.32,3.12,8.98,74.67,47.57,27.11
1845,GPRK,18.7,18.95,5.84,13.82,69.18,42.12,27.06
1748,XFOR,12.3,12.32,5.41,8.99,56.1,29.05,27.06
713,QURE,50.73,53.07,35.35,38.75,33.39,6.41,26.99
3192,TYHT,5.04,5.64,2.46,4.12,56.36,29.42,26.94
409,PPC,31.29,31.12,14.35,22.74,53.89,26.96,26.94
76,WW,36.46,37.18,11.23,27.18,69.79,42.9,26.89
1796,SCHL,37.79,37.85,19.69,27.69,47.97,21.14,26.83
2465,CMTL,34.61,33.33,11.7,24.45,64.89,38.26,26.64
2691,BWFG,28.6,28.27,12.76,20.75,54.87,28.26,26.61
2977,AHC,3.55,3.37,1.34,2.47,60.18,33.58,26.61
1329,THTX,3.7,3.6,1.43,2.64,60.24,33.64,26.59
1068,PROS,17.03,17.09,7.49,12.55,56.17,29.61,26.55
185,FUNC,23.45,23.41,10.76,17.21,54.04,27.55,26.49
2636,SWX,86.8,83.51,52.27,61.39,37.41,10.92,26.49
916,CLR,31.45,31.36,7.05,23.07,77.52,51.08,26.44
575,TXMD,2.82,3.01,0.87,2.22,71.14,44.79,26.35
1022,ISTR,24.14,24.36,9.25,17.96,62.02,35.76,26.27
2379,FCBC,31.97,31.7,17.29,23.4,45.45,19.28,26.18
2344,EHTH,78.0,77.59,47.85,57.37,38.33,12.27,26.06
2904,EIG,42.64,42.74,26.59,31.63,37.78,11.79,25.99
1604,DHX,3.55,3.52,1.69,2.61,52.04,26.11,25.93
1250,ARCO,7.36,7.26,3.03,5.38,58.26,32.37,25.88
1988,AMBC,20.34,20.26,9.36,15.02,53.8,27.94,25.86
3137,NOVN,2.35,2.43,0.22,1.8,90.94,65.08,25.86
732,BFIN,12.88,12.76,6.85,9.47,46.33,20.53,25.81
3167,ALOT,15.6,15.37,5.51,11.42,64.15,38.46,25.69
3212,ICMB,6.75,6.78,1.48,5.05,78.19,52.64,25.55
852,ARAV,6.83,8.43,3.5,6.29,58.47,33.1,25.37
1621,XOM,69.39,69.74,31.45,52.1,54.9,29.61,25.29
2065,PBIP,17.59,17.52,9.57,13.09,45.37,20.09,25.28
1230,NMRK,10.69,11.15,2.5,8.33,77.58,52.29,25.28
607,GHM,21.24,21.02,10.79,15.71,48.67,23.41,25.26
1790,PHGE,10.0,9.37,4.71,7.01,49.74,24.54,25.19
363,BSGM,6.9,7.01,2.56,5.25,63.5,38.35,25.15
2072,NMIH,29.43,30.36,9.58,22.75,68.44,43.38,25.06
2501,DXPE,36.37,36.75,11.06,27.63,69.91,45.08,24.82
2846,ADS,110.91,115.07,22.61,86.51,80.35,55.53,24.82
1974,YMTX,18.86,28.91,16.67,21.74,42.35,17.53,24.81
1482,CCNE,31.52,30.65,13.92,23.08,54.59,29.88,24.7
468,SKYW,60.89,60.4,12.07,45.52,80.02,55.38,24.64
2576,STBA,37.63,37.52,17.01,28.28,54.67,30.04,24.63
92,TDW,15.95,16.12,4.13,12.17,74.39,49.86,24.52
2260,DSX,3.44,3.44,1.27,2.6,63.08,38.67,24.41
442,BAP,209.97,210.08,112.92,159.06,46.25,21.96,24.29
283,T,37.91,37.99,26.5,28.77,30.25,5.97,24.28
1970,CNP,28.18,27.77,12.1,21.03,56.43,32.16,24.27
1236,MOTS,1.83,2.03,0.5,1.54,75.55,51.31,24.24
1636,HE,44.68,44.8,32.44,33.97,27.59,3.42,24.17
292,GLRE,10.35,10.36,5.25,7.86,49.33,25.19,24.13
2499,BLX,20.87,20.69,8.17,15.71,60.51,36.44,24.07
2540,RVSB,7.35,7.49,3.82,5.69,48.99,24.97,24.01
3039,SCM,13.91,13.88,5.06,10.56,63.55,39.62,23.94
3115,CPF,29.09,29.06,12.63,22.11,56.53,32.63,23.91
2825,TG,20.2,20.51,11.32,15.61,44.8,20.92,23.88
1500,ELOX,5.07,5.25,1.56,4.0,70.3,46.45,23.85
2523,TILE,16.44,15.35,5.59,11.69,63.58,39.75,23.83
326,DBI,16.74,16.61,3.17,12.66,80.92,57.12,23.8
1499,POR,55.81,55.97,33.69,42.67,39.8,16.05,23.76
2944,CASS,56.49,55.83,29.35,42.58,47.43,23.7,23.73
2819,DAL,57.07,56.69,19.19,43.24,66.15,42.43,23.72
1978,MNRL,19.69,19.86,6.04,15.15,69.58,45.88,23.7
2644,VHI,23.28,23.45,9.12,17.91,61.11,37.48,23.64
1275,CACC,442.16,447.51,215.83,341.77,51.77,28.14,23.63
2767,AXDX,16.98,17.34,4.62,13.25,73.36,49.77,23.59
1117,NKSH,42.08,41.81,23.73,31.96,43.24,19.69,23.55
519,SCS,18.11,18.23,7.33,13.94,59.78,36.27,23.52
692,INSW,25.46,24.32,12.9,18.6,46.95,23.44,23.51
3050,BDSI,5.8,5.58,3.06,4.27,45.12,21.7,23.41
599,DAKT,6.96,6.88,3.79,5.27,44.9,21.52,23.39
3077,AER,58.59,58.03,15.14,44.47,73.91,50.54,23.37
1362,WTTR,8.1,8.23,2.28,6.31,72.3,48.97,23.33
1218,FNKO,17.45,18.0,3.18,13.81,82.33,59.05,23.28
526,MIC,40.8,40.78,14.1,31.29,65.42,42.15,23.27
1776,FC,36.19,36.12,13.15,27.75,63.59,40.42,23.17
3016,DLX,50.0,49.32,19.14,37.92,61.19,38.08,23.12
1613,MBRX,6.3,6.39,2.4,4.91,62.42,39.3,23.12
733,YTRA,3.88,3.8,0.55,2.92,85.46,62.38,23.08
