Date,Open,High,Low,Close,Adj Close,Volume
2020-03-04,43.68000030517578,43.68000030517578,43.68000030517578,43.68000030517578,43.68000030517578,0
2020-03-05,43.68000030517578,43.68000030517578,43.68000030517578,43.68000030517578,43.68000030517578,0
2020-03-06,43.68000030517578,43.68000030517578,43.68000030517578,43.68000030517578,43.68000030517578,0
2020-03-09,43.68000030517578,43.68000030517578,43.68000030517578,43.68000030517578,43.68000030517578,0
2020-03-10,43.68000030517578,43.68000030517578,43.68000030517578,43.68000030517578,43.68000030517578,0
2020-03-11,43.68000030517578,43.68000030517578,43.68000030517578,43.68000030517578,43.68000030517578,0
2020-03-12,43.68000030517578,43.68000030517578,43.68000030517578,43.68000030517578,43.68000030517578,0
2020-03-13,31.760000228881836,31.760000228881836,31.559999465942383,31.760000228881836,31.760000228881836,300
2020-03-16,31.760000228881836,31.760000228881836,31.760000228881836,31.760000228881836,31.760000228881836,0
2020-03-17,31.760000228881836,31.760000228881836,31.760000228881836,31.760000228881836,31.760000228881836,0
2020-03-18,31.760000228881836,31.760000228881836,31.760000228881836,31.760000228881836,31.760000228881836,0
2020-03-19,31.760000228881836,31.760000228881836,31.760000228881836,31.760000228881836,31.760000228881836,0
2020-03-20,31.760000228881836,31.760000228881836,31.760000228881836,31.760000228881836,31.760000228881836,0
2020-03-23,21.420000076293945,21.420000076293945,21.420000076293945,21.420000076293945,21.420000076293945,100
2020-03-24,21.420000076293945,21.420000076293945,21.420000076293945,21.420000076293945,21.420000076293945,0
2020-03-25,21.420000076293945,21.420000076293945,21.420000076293945,21.420000076293945,21.420000076293945,0
2020-03-26,21.420000076293945,21.420000076293945,21.420000076293945,21.420000076293945,21.420000076293945,0
2020-03-27,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,300
2020-03-30,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,0
2020-03-31,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,0
2020-04-01,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,25.600000381469727,0
